iter	MAE	Quantile:alpha=0.7
0	9973.709684	4844.118851
1	9785.564489	4746.675933
2	9571.523168	4633.564161
3	9375.269812	4530.705816
4	9175.186045	4424.751742
5	8976.085707	4318.527289
6	8797.120592	4224.057335
7	8639.247144	4141.239241
8	8475.223003	4054.952
9	8304.659285	3963.530658
10	8176.361074	3896.670087
11	8029.372203	3818.57841
12	7885.115067	3742.095138
13	7767.973317	3680.654388
14	7643.567367	3615.216219
15	7512.932268	3544.964843
16	7395.337584	3482.508193
17	7275.057662	3418.348922
18	7166.265951	3360.843729
19	7063.539237	3306.331405
20	6951.88905	3246.821709
21	6862.907888	3200.617756
22	6775.123114	3153.836087
23	6693.834933	3111.31446
24	6612.499509	3069.085642
25	6525.599507	3022.925784
26	6449.141872	2983.167628
27	6366.3392	2938.956512
28	6288.705501	2898.66697
29	6212.380099	2857.056001
30	6137.999308	2817.622557
31	6070.328142	2782.894522
32	6010.900016	2751.47053
33	5951.404775	2720.046681
34	5887.25568	2686.218469
35	5827.546089	2654.006911
36	5772.9977	2625.533767
37	5708.207567	2589.744707
38	5655.372991	2561.338965
39	5598.838386	2530.18305
40	5553.721361	2505.918008
41	5495.790561	2474.026706
42	5454.083215	2452.66431
43	5403.359304	2425.821146
44	5360.920957	2403.068793
45	5320.04335	2381.23022
46	5288.102638	2366.194368
47	5247.731966	2345.330724
48	5203.004955	2321.682132
49	5168.786144	2302.690464
50	5137.011693	2285.421366
51	5099.720763	2264.797919
52	5063.549768	2246.486354
53	5034.111458	2230.5676
54	5000.490361	2211.801102
55	4967.254865	2194.147449
56	4936.100604	2176.640312
57	4906.562364	2161.76212
58	4884.812397	2151.51084
59	4866.123868	2142.29985
60	4842.947586	2131.318262
61	4827.767046	2123.550927
62	4809.902874	2114.499144
63	4784.739605	2101.141949
64	4763.511591	2091.384091
65	4743.628109	2080.912401
66	4727.744789	2072.549444
67	4712.433865	2065.303537
68	4690.24065	2052.879942
69	4670.690308	2041.790529
70	4646.692766	2029.457264
71	4637.39147	2024.681142
72	4622.987522	2018.635725
73	4611.785609	2015.544865
74	4597.162526	2008.860113
75	4582.866355	2000.957369
76	4567.56091	1993.363091
77	4557.560513	1988.185727
78	4539.056253	1977.873209
79	4526.259465	1972.509045
80	4507.226048	1961.986032
81	4490.963948	1952.877918
82	4480.142718	1946.646656
83	4468.214269	1941.118662
84	4459.685448	1937.552881
85	4444.365465	1929.823407
86	4432.431245	1923.416297
87	4420.325596	1917.112452
88	4408.072679	1909.680231
89	4397.179919	1904.860558
90	4384.66319	1897.789429
91	4376.59289	1893.985828
92	4365.7944	1887.766561
93	4354.022412	1879.604276
94	4345.283889	1875.98342
95	4338.494907	1872.052028
96	4330.773808	1868.703013
97	4320.193829	1861.479861
98	4310.338193	1856.097122
99	4303.759639	1853.10505
100	4296.458056	1849.122375
101	4289.272406	1845.826805
102	4282.886284	1842.934429
103	4276.640219	1841.088764
104	4270.102877	1838.319257
105	4264.90035	1835.761853
106	4259.344788	1832.810045
107	4254.13304	1829.363939
108	4247.873597	1826.541763
109	4241.465906	1823.713003
110	4236.812378	1822.818363
111	4232.110033	1821.484212
112	4228.053914	1819.089296
113	4222.508257	1815.614321
114	4219.149805	1814.221774
115	4214.339398	1811.675203
116	4210.513797	1810.042638
117	4205.438159	1807.061426
118	4200.818869	1805.745539
119	4198.590576	1804.060768
120	4193.646895	1801.235046
121	4190.359198	1800.502443
122	4186.952091	1798.428684
123	4182.733407	1796.702146
124	4178.723686	1795.323679
125	4174.541519	1793.896389
126	4171.806078	1793.456578
127	4168.380406	1792.055755
128	4164.708192	1790.609436
129	4161.223455	1789.69835
130	4159.347597	1788.017235
131	4156.292249	1786.964015
132	4152.558288	1785.457734
133	4149.500378	1784.899077
134	4145.46219	1781.350256
135	4142.91425	1780.808597
136	4140.721292	1778.333068
137	4137.332587	1776.941138
138	4134.089032	1775.994961
139	4132.051141	1775.701553
140	4129.439872	1774.853351
141	4127.123008	1774.203616
142	4125.125113	1773.528929
143	4122.891574	1773.080077
144	4120.626929	1772.439154
145	4118.418947	1771.741062
146	4115.937003	1771.078547
147	4113.749091	1770.432292
148	4112.082891	1770.213541
149	4109.656239	1768.64125
150	4107.237737	1767.823661
151	4105.236711	1767.052068
152	4101.330815	1763.840022
153	4097.452508	1760.835631
154	4096.022648	1760.662013
155	4093.527044	1759.638431
156	4091.005146	1758.563705
157	4088.776126	1757.545186
158	4086.67217	1756.488148
159	4085.687465	1754.852347
160	4082.80856	1752.953178
161	4080.932952	1752.32507
162	4079.304792	1751.879989
163	4077.71954	1751.341229
164	4077.03164	1750.095704
165	4073.587868	1747.282826
166	4071.855981	1746.929697
167	4069.498229	1743.818753
168	4068.029106	1742.467694
169	4067.068598	1742.370955
170	4068.124495	1741.814225
171	4066.948478	1741.415786
172	4066.0151	1740.852233
173	4065.592591	1739.863919
174	4063.918677	1739.488693
175	4062.90583	1739.057247
176	4062.025361	1738.959782
177	4060.409504	1738.442839
178	4058.014368	1737.239014
179	4055.67978	1735.317059
180	4054.713271	1735.218206
181	4053.682824	1734.561508
182	4052.29826	1734.148116
183	4051.6534	1734.090074
184	4050.405747	1733.825957
185	4049.611925	1733.738701
186	4047.313586	1731.468581
187	4045.74787	1730.709465
188	4043.984161	1729.589126
189	4042.953971	1729.074509
190	4041.155649	1726.699215
191	4039.463277	1723.926082
192	4037.530699	1723.088871
193	4034.53258	1720.730246
194	4033.01197	1719.897848
195	4032.132431	1719.70798
196	4031.552538	1719.661892
197	4030.611203	1719.271652
198	4028.935965	1718.407661
199	4026.800331	1716.706118
200	4025.953472	1715.341716
201	4024.060252	1714.517497
202	4023.307228	1714.266028
203	4022.499927	1714.037769
204	4015.878594	1710.03594
205	4015.128177	1709.633735
206	4011.057548	1706.763205
207	4010.272763	1706.56354
208	4009.21864	1706.178386
209	4008.415431	1705.030906
210	4006.59158	1704.069064
211	4006.117943	1704.028845
212	4004.856409	1703.463541
213	4003.555646	1702.850634
214	4001.82402	1702.046869
215	4000.854087	1700.813682
216	3999.000296	1699.977173
217	3998.166062	1699.773717
218	3997.209762	1699.034949
219	3995.783373	1698.262446
220	3994.24927	1697.417405
221	3992.673022	1696.547734
222	3991.395829	1695.23244
223	3989.892038	1694.665647
224	3985.573217	1691.507734
225	3984.506513	1691.028926
226	3984.048762	1691.012511
227	3983.209807	1690.669914
228	3982.469445	1690.348116
229	3981.939183	1690.31791
230	3980.575622	1689.583808
231	3979.690755	1689.295634
232	3978.770691	1688.352169
233	3976.903303	1687.111007
234	3975.275061	1686.523397
235	3974.008829	1686.099611
236	3969.722799	1683.13509
237	3965.967389	1680.448645
238	3964.377873	1679.686928
239	3963.726448	1679.251947
240	3959.543014	1676.024256
241	3953.886218	1671.897741
242	3952.916568	1671.58176
243	3951.600159	1670.534963
244	3947.463318	1667.729845
245	3944.933625	1666.291319
246	3943.245655	1664.790342
247	3941.113904	1663.27101
248	3940.329283	1662.826118
249	3937.970814	1661.741903
250	3936.826597	1661.241148
251	3934.733185	1659.566564
252	3930.088182	1656.248396
253	3928.472529	1655.190581
254	3927.380427	1654.815129
255	3925.770269	1653.726554
256	3923.126097	1652.030816
257	3919.579296	1649.689462
258	3915.851292	1647.17715
259	3914.507167	1646.38007
260	3912.435769	1644.920157
261	3911.17435	1643.761415
262	3910.315132	1643.468863
263	3908.808778	1642.549499
264	3908.056185	1642.219249
265	3903.169641	1639.696621
266	3902.401003	1639.410955
267	3901.160523	1638.934581
268	3900.181527	1638.456021
269	3899.346011	1637.928376
270	3898.488352	1637.638269
271	3897.474091	1637.035253
272	3896.414547	1636.485306
273	3893.168807	1634.227463
274	3890.133642	1632.132568
275	3887.060031	1629.829967
276	3886.446238	1629.350094
277	3885.754244	1629.106337
278	3885.145271	1628.177072
279	3883.943411	1627.607572
280	3882.906894	1627.214664
281	3882.335208	1626.69028
282	3880.860042	1625.794732
283	3880.004263	1625.461508
284	3875.039826	1622.734795
285	3871.638888	1621.028793
286	3870.388706	1619.914444
287	3867.867131	1617.957816
288	3867.107331	1617.67726
289	3865.726837	1616.883139
290	3864.448108	1616.323694
291	3862.943986	1615.510995
292	3861.914674	1615.01491
293	3860.775554	1614.615592
294	3859.942895	1614.161074
295	3858.796766	1613.681941
296	3856.620372	1612.853088
297	3855.530405	1612.428891
298	3853.544386	1611.126425
299	3847.593571	1607.415675
300	3844.881264	1605.5951
301	3844.502499	1605.458871
302	3843.928418	1605.249032
303	3843.18558	1604.951584
304	3842.567875	1604.7171
305	3841.686638	1604.408423
306	3840.049871	1603.816922
307	3838.839139	1603.358325
308	3838.007069	1602.928387
309	3836.931856	1601.999869
310	3836.408255	1601.783964
311	3829.52755	1597.455507
312	3826.257683	1596.081669
313	3823.479083	1594.295938
314	3820.663345	1592.477977
315	3816.163353	1590.238093
316	3814.695243	1589.468435
317	3812.988842	1588.402339
