iter	Passed	Remaining
0	269	403422
1	316	237125
2	410	204736
3	489	183207
4	563	168481
5	657	163786
6	733	156390
7	836	155945
8	942	156130
9	1066	158967
10	1097	148560
11	1186	147078
12	1276	145990
13	1369	145329
14	1466	145152
15	1585	147021
16	1698	148196
17	1810	149079
18	1919	149624
19	2019	149463
20	2108	148514
21	2191	147219
22	2288	146971
23	2370	145770
24	2475	146053
25	2589	146782
26	2708	147781
27	2803	147361
28	2892	146726
29	2972	145658
30	3058	144942
31	3140	144079
32	3223	143289
33	3424	147665
34	3603	150844
35	3744	152261
36	3914	154781
37	4078	156896
38	4239	158832
39	4319	157666
40	4499	160122
41	4674	162279
42	4847	164252
43	5006	165684
44	5175	167341
45	5343	168906
46	5387	166566
47	5504	166515
48	5668	167844
49	5845	169507
50	5930	168495
51	6090	169598
52	6267	171126
53	6456	172887
54	6620	173933
55	6785	174969
56	6944	175813
57	7111	176811
58	7296	178201
59	7379	177102
60	7507	177095
61	7598	176242
62	7670	174957
63	7844	176010
64	8024	177148
65	8203	178229
66	8374	179114
67	8547	179992
68	8721	180874
69	8914	182104
70	9117	183497
71	9178	182039
72	9381	183394
73	9413	181399
74	9570	181845
75	9746	182616
76	9853	182099
77	9923	180922
78	10099	181671
79	10269	182287
80	10436	182836
81	10605	183394
82	10785	184132
83	10958	184733
84	11125	185202
85	11295	185717
86	11464	186195
87	11626	186547
88	11793	186978
89	11962	187405
90	12132	187856
91	12299	188242
92	12472	188694
93	12640	189068
94	12819	189588
95	12989	189974
96	13158	190318
97	13317	190526
98	13482	190797
99	13651	191114
100	13817	191398
101	13988	191724
102	14178	192303
103	14243	191188
104	14411	191469
105	14583	191786
106	14699	191371
107	14871	191681
108	15035	191876
109	15209	192188
110	15271	191099
111	15451	191487
112	15633	191892
113	15812	192252
114	15983	192492
115	16163	192849
116	16328	193007
117	16501	193268
118	16665	193399
119	16827	193511
120	16999	193737
121	17108	193240
122	17288	193549
123	17452	193666
124	17615	193766
125	17780	193894
126	17826	192726
127	17985	192778
128	18167	193080
129	18360	193492
130	18536	193715
131	18710	193907
132	18890	194156
133	19100	194710
134	19304	195189
135	19489	195468
136	19666	195662
137	19853	195948
138	20046	196285
139	20097	195230
140	20262	195298
141	20450	195572
142	20632	195791
143	20809	195951
144	20989	196141
145	21170	196331
146	21343	196451
147	21507	196476
148	21552	195422
149	21711	195405
150	21892	195583
151	22071	195738
152	22241	195809
153	22430	196048
154	22464	194932
155	22622	194900
156	22788	194932
157	22958	195003
158	23128	195064
159	23310	195223
160	23483	195307
161	23683	195604
162	23890	195961
163	24085	196208
164	24267	196347
165	24439	196397
166	24619	196511
167	24799	196627
168	24971	196669
169	25003	195616
170	25040	194613
171	25207	194622
172	25380	194678
173	25569	194857
174	25757	195020
175	25958	195281
176	26020	194491
177	26189	194507
178	26359	194531
179	26554	194730
180	26604	193877
181	26787	193989
182	26964	194055
183	26997	193088
184	27151	192997
185	27201	192163
186	27369	192172
187	27545	192230
188	27738	192406
189	27923	192523
190	28101	192587
191	28288	192717
192	28465	192771
193	28637	192789
194	28814	192833
195	28998	192926
196	29032	192024
197	29211	192084
198	29392	192161
199	29568	192197
200	29743	192223
201	29930	192325
202	30120	192441
203	30295	192468
204	30458	192410
205	30654	192555
206	30815	192482
207	30998	192550
208	31168	192529
209	31348	192570
210	31531	192628
211	31610	192046
212	31776	192001
213	31956	192036
214	32132	192047
215	32326	192164
216	32502	192171
217	32693	192258
218	32876	192303
219	33057	192332
220	33237	192354
221	33416	192371
222	33608	192455
223	33794	192505
224	33977	192538
225	34156	192548
226	34189	191732
227	34363	191710
228	34534	191672
229	34581	190948
230	34750	190903
231	34938	190954
232	35109	190916
233	35284	190897
234	35465	190907
235	35653	190957
236	35824	190911
237	35995	190864
238	36174	190860
239	36376	190978
240	36550	190940
241	36712	190842
242	36905	190905
243	37084	190893
244	37262	190876
245	37431	190809
246	37608	190780
247	37784	190748
248	37985	190842
249	38163	190815
250	38330	190737
251	38513	190732
252	38696	190730
253	38909	190871
254	39093	190869
255	39271	190837
256	39617	191614
257	39801	191603
258	39965	191493
259	40138	191431
260	40317	191391
261	40488	191314
262	40671	191295
263	40844	191225
264	41021	191175
265	41182	191050
266	41363	191015
267	41553	191020
268	41753	191074
269	41929	191012
270	42119	191016
271	42295	190951
272	42487	190961
273	42664	190898
274	42831	190793
275	43021	190792
276	43193	190705
277	43382	190694
278	43557	190623
279	43727	190524
280	43913	190500
281	44076	190374
282	44242	190260
283	44419	190189
284	44586	190080
285	44747	189943
286	44910	189813
287	45081	189716
288	45247	189601
289	45426	189537
290	45601	189458
291	45796	189458
292	45974	189390
293	46149	189306
294	46325	189227
295	46493	189115
296	46669	189034
297	46839	188931
298	47016	188852
299	47224	188899
300	47402	188822
301	47594	188801
302	47797	188822
303	47968	188716
304	48145	188637
305	48311	188509
306	48479	188390
307	48648	188276
308	48823	188181
309	48994	188077
310	49179	188020
311	49352	187918
312	49526	187820
313	49693	187697
314	49869	187604
315	50027	187443
316	50205	187358
317	50370	187227
318	50534	187087
319	50720	187031
320	50907	186977
321	51075	186854
322	51259	186787
323	51437	186699
324	51606	186578
325	51788	186501
326	51953	186363
327	52138	186301
328	52311	186190
329	52480	186068
330	52650	185947
331	52843	185906
332	53059	185948
333	53244	185878
334	53421	185780
335	53680	185963
336	53849	185837
337	54017	185704
338	54196	185611
339	54378	185527
340	54548	185401
341	54717	185272
342	54881	185125
343	55049	184991
344	55214	184847
345	55397	184764
346	55560	184615
347	55725	184469
348	55896	184347
349	56096	184318
350	56281	184238
351	56452	184110
352	56613	183953
353	56782	183821
354	56975	183765
355	57136	183608
356	57324	183533
357	57488	183384
358	57650	183230
359	57827	183119
360	58011	183033
361	58177	182889
362	58348	182760
363	58511	182606
364	58675	182456
365	58857	182360
366	59053	182309
367	59217	182159
368	59405	182079
369	59581	181963
370	59740	181798
371	59903	181643
372	60087	181551
373	60250	181397
374	60426	181278
375	60595	181140
376	60755	180977
377	60931	180861
378	61095	180708
379	61279	180612
380	61435	180437
381	61605	180300
382	61799	180236
383	61976	180118
384	62171	180053
385	62372	180008
386	62573	179958
387	62746	179831
388	62931	179733
389	63095	179580
390	63252	179403
391	63417	179250
392	63610	179178
393	63775	179025
394	63946	178887
395	64123	178767
396	64281	178594
397	64452	178458
398	64633	178349
399	64795	178188
400	64961	178037
401	65155	177961
402	65348	177885
403	65535	177788
404	65711	177665
405	65879	177516
406	66054	177390
407	66220	177237
408	66385	177081
409	66543	176909
410	66715	176770
411	66884	176628
412	67066	176517
413	67266	176452
414	67457	176365
415	67647	176274
416	67809	176110
417	67988	175988
418	68168	175870
419	68328	175702
420	68493	175544
421	68671	175420
422	68841	175277
423	69042	175211
424	69233	175118
425	69410	174991
426	69591	174875
427	69765	174740
428	69967	174675
429	70130	174509
430	70307	174382
431	70461	174197
432	70623	174029
433	70817	173944
434	70982	173784
435	71188	173725
436	71379	173629
437	71550	173486
438	71732	173367
439	71923	173270
440	72103	173146
441	72284	173025
442	72447	172861
443	72611	172696
444	72790	172571
445	72953	172406
446	73125	172261
447	73295	172113
448	73455	171940
449	73629	171801
450	73806	171670
451	73973	171513
452	74136	171348
453	74298	171180
454	74457	171005
455	74624	170849
456	74782	170673
457	74953	170527
458	75111	170350
459	75279	170197
460	75449	170047
461	75620	169899
462	75810	169796
463	75985	169656
464	76147	169490
465	76308	169318
466	76485	169186
467	76650	169023
468	76831	168899
469	76988	168719
470	77154	168561
471	77333	168429
472	77491	168253
473	77675	168133
474	77836	167963
475	78005	167810
476	78203	167718
477	78378	167579
478	78538	167406
479	78717	167274
480	78872	167092
481	79042	166940
482	79204	166772
483	79368	166607
484	79525	166428
485	79696	166280
486	79863	166123
487	80067	166040
488	80238	165891
489	80430	165784
490	80599	165630
491	80781	165503
492	80952	165354
493	81115	165186
494	81274	165010
495	81445	164860
496	81615	164708
497	81776	164538
498	81952	164398
499	82123	164247
500	82290	164087
501	82461	163936
502	82627	163776
503	82779	163589
504	82937	163411
505	83106	163257
506	83269	163090
507	83457	162972
508	83619	162803
509	83782	162635
510	83963	162503
511	84153	162389
512	84325	162241
513	84505	162105
514	84665	161932
515	84833	161776
516	85002	161619
517	85181	161483
518	85340	161308
519	85509	161151
520	85669	160980
521	85831	160811
522	85995	160646
523	86162	160485
524	86328	160323
525	86488	160150
526	86659	159999
527	86836	159858
528	87031	159749
529	87190	159575
530	87352	159406
531	87515	159238
532	87673	159062
533	87837	158897
534	88037	158796
535	88243	158706
536	88414	158553
537	88596	158420
538	88757	158248
539	88932	158101
540	89096	157935
541	89268	157785
542	89441	157634
543	89607	157471
544	89775	157313
545	89955	157174
546	90126	157020
547	90287	156850
548	90459	156696
549	90639	156559
550	90807	156399
551	90966	156225
552	91126	156052
553	91306	155913
554	91491	155783
555	91667	155636
556	91833	155473
557	91999	155310
558	92181	155174
559	92348	155013
560	92509	154842
561	92692	154707
562	92868	154560
563	93034	154397
564	93202	154237
565	93365	154068
566	93551	153938
567	93724	153786
568	93889	153622
569	94048	153447
570	94220	153293
571	94398	153150
572	94570	152996
573	94756	152865
574	94952	152749
575	95120	152589
576	95308	152459
577	95497	152333
578	95670	152180
579	95824	151996
580	95989	151832
581	96143	151649
582	96340	151533
583	96503	151365
584	96663	151190
585	96837	151040
586	97017	150898
587	97179	150727
588	97344	150560
589	97505	150390
590	97674	150231
591	97849	150079
592	98022	149926
593	98189	149764
594	98373	149626
595	98565	149502
596	98731	149337
597	98889	149160
598	99057	149000
599	99224	148836
600	99387	148667
601	99559	148512
602	99735	148363
603	99901	148198
604	100077	148049
605	100255	147901
606	100445	147772
607	100635	147642
608	100805	147483
609	100968	147314
610	101133	147148
611	101295	146977
612	101467	146821
613	101642	146669
614	101812	146510
615	101964	146326
616	102119	146144
617	102287	145983
618	102448	145811
619	102621	145656
620	102817	145533
621	102972	145353
622	103133	145181
623	103286	144998
624	103474	144864
625	103641	144700
626	103809	144538
627	103983	144385
628	104141	144208
629	104322	144064
630	104510	143929
631	104690	143784
632	104848	143608
633	105017	143446
634	105186	143285
635	105360	143131
636	105517	142953
637	105678	142782
638	105840	142611
639	106001	142439
640	106171	142280
641	106343	142123
642	106527	141981
643	106734	141870
644	106909	141717
645	107082	141560
646	107241	141387
647	107404	141216
648	107601	141092
649	107878	141071
650	108055	140920
651	108352	140924
652	108536	140781
653	108719	140637
654	108883	140468
655	109043	140293
656	109194	140108
657	109371	139956
658	109557	139814
659	109716	139639
660	109909	139506
661	110086	139354
662	110252	139187
663	110410	139011
664	110594	138867
665	110767	138709
666	110953	138567
667	111129	138412
668	111306	138259
669	111488	138112
670	111664	137958
671	111835	137797
672	111994	137621
673	112161	137456
674	112329	137291
675	112488	137116
676	112663	136959
677	112845	136812
678	113025	136662
679	113191	136495
680	113355	136325
681	113521	136159
682	113687	135992
683	113876	135852
684	114086	135737
685	114279	135602
686	114457	135449
687	114618	135276
688	114804	135132
689	114973	134968
690	115135	134796
691	115362	134701
692	115674	134702
693	115870	134569
694	116060	134430
695	116162	134187
696	116273	133955
697	116366	133705
698	116464	133459
699	116554	133205
700	116641	132948
701	116734	132698
702	116838	132460
703	116938	132220
704	117031	131971
705	117134	131735
706	117223	131483
707	117314	131233
708	117423	131004
709	117499	130738
710	117597	130498
711	117684	130246
712	117771	129994
713	117864	129749
714	117937	129483
715	118009	129217
716	118095	128965
717	118173	128706
718	118268	128467
719	118347	128209
720	118426	127953
721	118505	127696
722	118608	127467
723	118690	127214
724	118762	126953
725	118862	126721
726	118970	126498
727	119054	126250
728	119142	126006
729	119221	125754
730	119314	125516
731	119419	125292
732	119496	125039
733	119594	124808
734	119682	124567
735	119760	124316
736	119851	124079
737	119920	123820
738	119994	123566
739	120077	123322
740	120176	123095
741	120257	122850
742	120342	122610
743	120420	122362
744	120502	122120
745	120603	121897
746	120710	121679
747	120794	121440
748	120890	121213
749	120971	120971
750	121066	120743
751	121153	120509
752	121248	120282
753	121350	120062
754	121447	119839
755	121523	119594
756	121615	119366
757	121715	119146
758	121796	118907
759	121882	118674
760	121990	118463
761	122085	118240
762	122188	118024
763	122290	117808
764	122364	117565
765	122453	117337
766	122539	117107
767	122632	116884
768	122732	116667
769	122837	116456
770	122936	116239
771	123027	116015
772	123100	115775
773	123203	115563
774	123296	115342
775	123371	115104
776	123447	114867
777	123548	114655
778	123624	114419
779	123715	114199
780	123791	113964
781	123876	113738
782	123968	113518
783	124063	113302
784	124168	113096
785	124266	112883
786	124359	112666
787	124453	112450
788	124551	112238
789	124641	112019
790	124759	111826
791	124847	111606
792	124950	111399
793	125022	111166
794	125123	110958
795	125226	110753
796	125310	110530
797	125409	110322
798	125490	110098
799	125584	109886
800	125679	109675
801	125757	109449
802	125855	109241
803	125926	109011
804	126020	108800
805	126126	108599
806	126209	108380
807	126301	108168
808	126387	107952
809	126469	107732
810	126562	107523
811	126642	107302
812	126735	107093
813	126834	106889
814	126921	106676
815	127004	106459
816	127102	106255
817	127195	106048
818	127290	105842
819	127392	105642
820	127470	105422
821	127544	105201
822	127654	105008
823	127748	104803
824	127849	104603
825	127930	104388
826	128006	104169
827	128083	103952
828	128169	103741
829	128261	103536
830	128334	103315
831	128412	103100
832	128512	102902
833	128591	102688
834	128684	102485
835	128764	102272
836	128851	102065
837	128928	101850
838	129022	101649
839	129115	101448
840	129211	101248
841	129298	101043
842	129383	100836
843	129452	100617
844	129530	100405
845	129607	100192
846	129710	100001
847	129788	99790
848	129878	99588
849	129951	99374
850	130029	99164
851	130108	98955
852	130193	98751
853	130294	98560
854	130400	98371
855	130486	98169
856	130565	97962
857	130650	97759
858	130731	97553
859	130813	97349
860	130914	97159
861	131025	96977
862	131103	96770
863	131215	96588
864	131306	96392
865	131376	96181
866	131448	95971
867	131539	95775
868	131626	95577
869	131697	95367
870	131772	95160
871	131871	94971
872	131945	94765
873	132035	94570
874	132133	94380
875	132209	94176
876	132288	93974
877	132360	93768
878	132437	93565
879	132511	93360
880	132597	93164
881	132678	92965
882	132778	92779
883	132856	92578
884	132938	92381
885	133049	92203
886	133154	92022
887	133241	91828
888	133343	91645
889	133418	91443
890	133503	91249
891	133578	91049
892	133678	90865
893	133771	90677
894	133865	90490
895	133969	90309
896	134068	90126
897	134167	89943
898	134255	89752
899	134357	89571
900	134429	89371
901	134518	89181
902	134626	89005
903	134704	88809
904	134776	88609
905	134860	88418
906	134952	88232
907	135031	88038
908	135109	87843
909	135187	87649
910	135290	87471
911	135384	87287
912	135472	87099
913	135571	86919
914	135664	86736
915	135753	86550
916	135850	86369
917	135920	86171
918	136003	85982
919	136077	85788
920	136180	85611
921	136274	85430
922	136366	85247
923	136464	85068
924	136555	84886
925	136634	84695
926	136723	84511
927	136821	84334
928	136897	84142
929	136986	83959
930	137089	83785
931	137180	83603
932	137271	83422
933	137350	83233
934	137437	83050
935	137511	82859
936	137601	82678
937	137685	82494
938	137765	82307
939	137845	82120
940	137938	81941
941	138026	81760
942	138140	81595
943	138230	81415
944	138305	81227
945	138388	81043
946	138472	80860
947	138570	80686
948	138673	80515
949	138769	80340
950	138843	80152
951	138925	79969
952	139000	79782
953	139083	79601
954	139178	79426
955	139252	79240
956	139338	79060
957	139424	78881
958	139492	78692
959	139575	78511
960	139650	78326
961	139739	78149
962	139820	77968
963	139907	77791
964	139991	77612
965	140100	77446
966	140218	77286
967	140300	77107
968	140408	76942
969	140490	76762
970	140585	76590
971	140686	76422
972	140776	76248
973	140855	76067
974	140930	75885
975	141026	75714
976	141138	75553
977	141229	75380
978	141328	75211
979	141402	75029
980	141478	74849
981	141570	74677
982	141647	74498
983	141748	74331
984	141851	74165
985	141948	73997
986	142030	73821
987	142129	73653
988	142197	73471
989	142292	73302
990	142367	73122
991	142443	72944
992	142529	72771
993	142625	72604
994	142722	72436
995	142796	72258
996	142884	72087
997	142980	71919
998	143067	71748
999	143146	71573
1000	143223	71396
1001	143296	71219
1002	143368	71041
1003	143452	70869
1004	143537	70697
1005	143638	70534
1006	143738	70370
1007	143831	70203
1008	143910	70029
1009	143987	69855
1010	144063	69680
1011	144160	69516
1012	144232	69339
1013	144315	69169
1014	144417	69007
1015	144506	68839
1016	144608	68678
1017	144712	68517
1018	144796	68348
1019	144875	68176
1020	144957	68006
1021	145050	67841
1022	145147	67678
1023	145232	67510
1024	145323	67345
1025	145427	67185
1026	145513	67018
1027	145601	66851
1028	145693	66687
1029	145790	66525
1030	145871	66356
1031	145956	66189
1032	146024	66015
1033	146100	65843
1034	146196	65682
1035	146318	65532
1036	146401	65365
1037	146488	65199
1038	146581	65037
1039	146661	64869
1040	146731	64697
1041	146816	64531
1042	146917	64373
1043	146986	64200
1044	147057	64029
1045	147140	63864
1046	147234	63703
1047	147320	63538
1048	147416	63379
1049	147515	63220
1050	147592	63053
1051	147672	62887
1052	147766	62727
1053	147854	62564
1054	147927	62396
1055	147999	62227
1056	148091	62066
1057	148171	61901
1058	148253	61737
1059	148355	61581
1060	148449	61422
1061	148525	61256
1062	148621	61098
1063	148734	60947
1064	148820	60785
1065	148917	60628
1066	148995	60464
1067	149080	60302
1068	149177	60145
1069	149287	59993
1070	149370	59831
1071	149458	59671
1072	149533	59506
1073	149621	59347
1074	149692	59180
1075	149770	59017
1076	149846	58853
1077	149947	58699
1078	150037	58540
1079	150108	58375
1080	150204	58219
1081	150282	58057
1082	150359	57894
1083	150429	57729
1084	150521	57572
1085	150601	57411
1086	150674	57248
1087	150758	57088
1088	150856	56934
1089	150940	56775
1090	151023	56616
1091	151132	56467
1092	151227	56312
1093	151297	56148
1094	151373	55987
1095	151461	55830
1096	151548	55673
1097	151639	55518
1098	151732	55363
1099	151823	55208
1100	151915	55053
1101	152016	54902
1102	152120	54752
1103	152229	54604
1104	152332	54453
1105	152407	54293
1106	152473	54130
1107	152552	53971
1108	152637	53815
1109	152713	53656
1110	152810	53504
1111	152898	53349
1112	152971	53189
1113	153055	53033
1114	153139	52877
1115	153216	52719
1116	153333	52575
1117	153425	52422
1118	153510	52267
1119	153584	52109
1120	153683	51959
1121	153762	51802
1122	153854	51650
1123	153954	51500
1124	154029	51343
1125	154136	51196
1126	154224	51043
1127	154304	50887
1128	154390	50734
1129	154485	50583
1130	154563	50427
1131	154654	50276
1132	154754	50127
1133	154851	49978
1134	154959	49832
1135	155046	49680
1136	155150	49533
1137	155249	49385
1138	155339	49233
1139	155432	49084
1140	155530	48935
1141	155615	48783
1142	155711	48634
1143	155809	48486
1144	155900	48335
1145	155984	48183
1146	156093	48039
1147	156194	47892
1148	156268	47737
1149	156359	47587
1150	156460	47441
1151	156550	47291
1152	156647	47143
1153	156724	46990
1154	156812	46840
1155	156884	46685
1156	156979	46537
1157	157060	46385
1158	157153	46237
1159	157222	46082
1160	157309	45932
1161	157401	45784
1162	157485	45634
1163	157564	45482
1164	157671	45339
1165	157765	45191
1166	157845	45040
1167	157920	44888
1168	157993	44735
1169	158074	44585
1170	158165	44437
1171	158263	44292
1172	158344	44142
1173	158461	44002
1174	158535	43850
1175	158610	43698
1176	158709	43553
1177	158791	43404
1178	158863	43253
1179	158966	43109
1180	159077	42968
1181	159179	42825
1182	159255	42674
1183	159338	42526
1184	159421	42377
1185	159507	42230
1186	159591	42082
1187	159669	41933
1188	159751	41785
1189	159850	41641
1190	159936	41494
1191	160027	41349
1192	160111	41202
1193	160197	41055
1194	160292	40911
1195	160371	40763
1196	160463	40618
1197	160569	40477
1198	160664	40333
1199	160778	40194
1200	160885	40054
1201	161008	39917
1202	161114	39776
1203	161217	39634
1204	161317	39492
1205	161424	39352
1206	161521	39209
1207	161596	39061
1208	161711	38923
1209	161817	38782
1210	161921	38641
1211	162030	38502
1212	162130	38360
1213	162239	38221
1214	162328	38077
1215	162415	37932
1216	162513	37790
1217	162611	37648
1218	162700	37505
1219	162776	37358
1220	162876	37217
1221	162964	37073
1222	163048	36929
1223	163143	36787
1224	163219	36641
1225	163294	36494
1226	163400	36355
1227	163490	36212
1228	163574	36068
1229	163649	35923
1230	163755	35784
1231	163851	35643
1232	163932	35498
1233	164005	35352
1234	164118	35215
1235	164225	35077
1236	164314	34935
1237	164400	34792
1238	164497	34651
1239	164573	34507
1240	164664	34365
1241	164746	34222
1242	164824	34078
1243	164905	33935
1244	164998	33794
1245	165097	33655
1246	165195	33515
1247	165285	33374
1248	165362	33231
1249	165428	33085
1250	165517	32944
1251	165605	32803
1252	165676	32659
1253	165749	32515
1254	165817	32370
1255	165926	32234
1256	166031	32096
1257	166125	31957
1258	166230	31820
1259	166327	31681
1260	166409	31540
1261	166510	31402
1262	166602	31262
1263	166705	31125
1264	166798	30986
1265	166876	30844
1266	166962	30704
1267	167067	30567
1268	167153	30427
1269	167241	30287
1270	167320	30146
1271	167419	30009
1272	167506	29869
1273	167581	29728
1274	167648	29585
1275	167743	29447
1276	167838	29309
1277	167933	29171
1278	168014	29031
1279	168125	28896
1280	168202	28755
1281	168298	28618
1282	168367	28476
1283	168469	28340
1284	168571	28204
1285	168670	28068
1286	168780	27933
1287	168876	27796
1288	168972	27659
1289	169081	27524
1290	169184	27389
1291	169281	27252
1292	169371	27115
1293	169445	26975
1294	169541	26838
1295	169630	26701
1296	169709	26562
1297	169788	26423
1298	169861	26283
1299	169935	26143
1300	170046	26010
1301	170128	25872
1302	170199	25732
1303	170294	25596
1304	170384	25459
1305	170484	25324
1306	170585	25189
1307	170667	25052
1308	170755	24915
1309	170843	24778
1310	170938	24643
1311	171029	24507
1312	171109	24369
1313	171216	24236
1314	171308	24100
1315	171403	23965
1316	171503	23830
1317	171575	23692
1318	171673	23557
1319	171746	23420
1320	171825	23282
1321	171908	23146
1322	171988	23009
1323	172076	22874
1324	172149	22736
1325	172228	22600
1326	172321	22465
1327	172402	22329
1328	172473	22191
1329	172549	22055
1330	172632	21919
1331	172713	21783
1332	172785	21646
1333	172866	21511
1334	172939	21374
1335	173018	21238
1336	173089	21102
1337	173174	20967
1338	173258	20832
1339	173334	20696
1340	173430	20563
1341	173521	20429
1342	173612	20295
1343	173683	20159
1344	173759	20024
1345	173837	19889
1346	173926	19755
1347	174004	19620
1348	174109	19488
1349	174215	19357
1350	174315	19224
1351	174393	19090
1352	174488	18957
1353	174578	18824
1354	174662	18690
1355	174762	18558
1356	174853	18425
1357	174947	18293
1358	175058	18162
1359	175156	18030
1360	175254	17898
1361	175362	17767
1362	175467	17636
1363	175572	17505
1364	175650	17372
1365	175742	17239
1366	175844	17108
1367	175946	16977
1368	176060	16847
1369	176162	16716
1370	176262	16584
1371	176357	16453
1372	176461	16322
1373	176534	16188
1374	176601	16054
1375	176701	15923
1376	176807	15793
1377	176892	15660
1378	176984	15529
1379	177074	15397
1380	177183	15267
1381	177279	15136
1382	177362	15004
1383	177458	14873
1384	177576	14744
1385	177687	14615
1386	177805	14485
1387	177887	14353
1388	177984	14223
1389	178118	14095
1390	178197	13963
1391	178276	13831
1392	178378	13701
1393	178472	13571
1394	178576	13441
1395	178675	13311
1396	178763	13180
1397	178859	13049
1398	178954	12919
1399	179049	12789
1400	179145	12659
1401	179249	12529
1402	179364	12400
1403	179459	12270
1404	179557	12140
1405	179647	12010
1406	179747	11880
1407	179845	11751
1408	179945	11621
1409	180043	11492
1410	180129	11361
1411	180222	11231
1412	180319	11102
1413	180419	10973
1414	180507	10843
1415	180610	10714
1416	180699	10584
1417	180796	10455
1418	180886	10325
1419	180980	10196
1420	181081	10067
1421	181185	9938
1422	181281	9809
1423	181382	9680
1424	181485	9551
1425	181575	9422
1426	181672	9293
1427	181758	9164
1428	181859	9035
1429	181954	8906
1430	182066	8778
1431	182156	8649
